date,confirmed,recovered,deaths,infected,new
12/03/2020,1,0,0,1,0
13/03/2020,1,0,0,1,0
14/03/2020,1,0,0,1,0
15/03/2020,2,0,0,2,1
16/03/2020,2,0,0,2,0
17/03/2020,3,0,0,3,1
18/03/2020,3,0,0,3,0
19/03/2020,5,0,0,5,2
20/03/2020,11,0,0,11,6
21/03/2020,20,0,0,20,9
22/03/2020,31,0,1,30,11
23/03/2020,40,0,1,39,9
24/03/2020,47,0,1,46,7
25/03/2020,53,0,1,52,6
26/03/2020,62,1,1,60,9
27/03/2020,70,2,1,67,8
28/03/2020,76,2,2,72,6
29/03/2020,77,2,2,73,1
30/03/2020,80,2,2,76,3
31/03/2020,84,3,2,79,4
1/04/2020,88,8,2,78,4
2/04/2020,92,11,2,79,4
3/04/2020,93,18,2,73,1
4/04/2020,96,18,2,76,3
5/04/2020,96,28,2,66,0
6/04/2020,97,40,2,55,1
7/04/2020,99,42,2,55,2
8/04/2020,100,47,2,51,1
9/04/2020,102,54,2,46,2
10/04/2020,102,59,2,41,0
11/04/2020,102,62,2,38,0
12/04/2020,102,67,2,33,0
13/04/2020,103,72,2,29,1
14/04/2020,103,75,2,26,0
15/04/2020,103,77,3,23,0
16/04/2020,103,79,3,21,0
