ages,pop,cases,weighted cases
0 to 5,0.06284594229526125,0.04352154743279761,-0.30748834621134713
5 to 12,0.09311393824531812,0.1206087327549424,0.29528119020362387
12 to 18,0.06844589225019751,0.11847532356706016,0.7309340220737393
18 to 25,0.09324136780573247,0.12430664201393828,0.33317051153657484
25 to 40,0.24105039028199005,0.27094296686104397,0.12400965849540602
40 to 50,0.1390812560384235,0.16228132555824207,0.16680946218525072
50 to 65,0.16395782313240395,0.11093727776987626,-0.3233791736775562
65 plus,0.13826338995067317,0.04892618404209927,-0.6461378239058497
