sa3,erp,cases,relative risk
Belconnen,0.2389283008471658,0.22778539438808154,-0.04663703052160395
Canberra East,0.003840389881510791,0.005429119824513298,0.4136897533897024
Gungahlin,0.2032889127445369,0.2220820765926332,0.09244559181499867
North Canberra,0.13951516562126678,0.13212686226121928,-0.052956990927452874
South Canberra,0.0722026547852873,0.057892331596746185,-0.19819663461262538
Tuggeranong,0.2001372755319427,0.19400420436888768,-0.030644322237094457
Weston Creek,0.055214213955079076,0.07935289278859337,0.43718233230944703
Woden Valley,0.08687308663321071,0.08132711817932547,-0.06383989183325578
