date,new,total,recovered,dead,first,second
11/03/2020,0,0,,,,
12/03/2020,1,1,,,,
13/03/2020,0,1,,,,
14/03/2020,0,1,,,,
15/03/2020,0,1,,,,
16/03/2020,1,2,,,,
17/03/2020,0,2,,,,
18/03/2020,1,3,,,,
19/03/2020,1,4,,,,
20/03/2020,2,6,,,,
21/03/2020,3,9,,,,
22/03/2020,10,19,,,,
23/03/2020,13,32,,,,
24/03/2020,7,39,,,,
25/03/2020,5,44,,,,
26/03/2020,9,53,,,,
27/03/2020,9,62,,,,
28/03/2020,9,71,,,,
29/03/2020,6,77,2,,,
30/03/2020,1,78,2,1,,
31/03/2020,2,80,3,1,,
1/04/2020,4,84,8,1,,
2/04/2020,3,87,11,1,,
3/04/2020,4,91,18,1,,
4/04/2020,2,93,18,2,,
5/04/2020,3,96,28,2,,
6/04/2020,0,96,40,2,,
7/04/2020,1,97,42,2,,
8/04/2020,2,99,47,2,,
9/04/2020,1,100,54,2,,
10/04/2020,2,102,59,2,,
11/04/2020,0,102,62,2,,
12/04/2020,0,102,67,2,,
13/04/2020,1,103,72,2,,
14/04/2020,0,103,75,2,,
15/04/2020,0,103,77,3,,
16/04/2020,0,103,79,3,,
17/04/2020,0,103,81,3,,
18/04/2020,0,103,88,3,,
19/04/2020,0,103,89,3,,
20/04/2020,1,104,91,3,,
21/04/2020,0,104,92,3,,
22/04/2020,0,104,93,3,,
23/04/2020,0,104,93,3,,
24/04/2020,1,105,97,3,,
25/04/2020,1,106,98,3,,
26/04/2020,0,106,99,3,,
27/04/2020,0,106,100,3,,
28/04/2020,0,106,101,3,,
29/04/2020,0,106,101,3,,
30/04/2020,0,106,103,3,,
1/05/2020,0,106,103,3,,
2/05/2020,0,106,103,3,,
3/05/2020,0,106,103,3,,
4/05/2020,1,107,103,3,,
5/05/2020,0,107,103,3,,
6/05/2020,0,107,103,3,,
7/05/2020,0,107,103,3,,
8/05/2020,0,107,103,3,,
9/05/2020,0,107,103,3,,
10/05/2020,0,107,104,3,,
11/05/2020,0,107,104,3,,
12/05/2020,0,107,104,3,,
13/05/2020,0,107,104,3,,
14/05/2020,0,107,104,3,,
15/05/2020,0,107,104,3,,
16/05/2020,0,107,104,3,,
17/05/2020,0,107,104,3,,
18/05/2020,0,107,104,3,,
19/05/2020,0,107,104,3,,
20/05/2020,0,107,104,3,,
21/05/2020,0,107,104,3,,
22/05/2020,0,107,104,3,,
23/05/2020,0,107,104,3,,
24/05/2020,0,107,104,3,,
25/05/2020,0,107,104,3,,
26/05/2020,0,107,104,3,,
27/05/2020,0,107,104,3,,
28/05/2020,0,107,104,3,,
29/05/2020,0,107,104,3,,
