"pcr","rat","new","hospital","icu","ventilated","dead"
403,388,791,76,1,1,0
339,391,730,69,0,0,0
264,352,616,55,1,0,1
213,323,536,53,1,0,0
235,422,657,50,2,0,0
265,314,579,49,1,0,1
298,433,731,43,1,0,0
393,517,910,37,1,0,1
456,738,1194,52,0,0,1
541,908,1449,,,,0
691,1066,1757,34,1,1,0
874,1365,2239,33,0,0,1
870,1740,2610,58,3,0,5
1398,1620,3018,81,0,0,1
