date,new,total,recovered,average,active,hospitalised,intensive care,ventilated,dead,pcr,rat,tests,positivity,positivity_trend
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-08-12,4.0,4.0,0.0,0.5714285714285714,4.0,0.0,0.0,0.0,0.0,4.0,0.0,,,
2021-08-13,2.0,6.0,0.0,0.8571428571428571,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1329.0,0.0015026296018031,0.0015026296018031
2021-08-14,1.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1982.0,0.0005042864346949,0.001003458018249
2021-08-15,2.0,9.0,0.0,1.2857142857142858,9.0,0.0,0.0,0.0,0.0,2.0,0.0,3292.0,0.0006071645415907,0.0008713601926962
2021-08-16,18.0,27.0,0.0,3.857142857142857,27.0,0.0,0.0,0.0,0.0,18.0,0.0,6444.0,0.0027855153203342,0.0013498989746057
2021-08-17,17.0,44.0,0.0,6.285714285714286,44.0,0.0,0.0,0.0,0.0,17.0,0.0,6369.0,0.0026620732853116,0.0016123338367469
2021-08-18,22.0,66.0,0.0,9.428571428571429,66.0,0.0,0.0,0.0,0.0,22.0,0.0,6630.0,0.0033072760072158,0.0018948241984917
2021-08-19,16.0,82.0,0.0,11.142857142857142,82.0,0.0,0.0,0.0,0.0,16.0,0.0,6937.0,0.0023011649647634,0.0019528728793876
2021-08-20,12.0,94.0,0.0,12.571428571428571,94.0,1.0,0.0,0.0,0.0,12.0,0.0,7882.0,0.0015201418799087,0.0019553746334027
2021-08-21,8.0,102.0,0.0,13.571428571428571,102.0,2.0,0.0,0.0,0.0,8.0,0.0,6781.0,0.0011783767859773,0.0020516732550145
2021-08-22,19.0,121.0,0.0,16.0,121.0,3.0,0.0,0.0,0.0,19.0,0.0,6096.0,0.0031071136549468,0.0024088088426368
2021-08-23,16.0,137.0,0.0,15.714285714285714,137.0,4.0,0.0,0.0,0.0,16.0,0.0,4270.0,0.0037330844610359,0.002544175862737
2021-08-24,30.0,167.0,0.0,17.571428571428573,167.0,4.0,1.0,1.0,0.0,30.0,0.0,2411.0,0.0122900450634985,0.003919600402478
2021-08-25,9.0,176.0,0.0,15.714285714285714,176.0,7.0,5.0,1.0,0.0,9.0,0.0,6546.0,0.0013729977116704,0.0036432749316858
