date,Omicron BA.1,Omicron BA.2,other
2022-02-06,115,15,2
2022-02-13,166,28,0
2022-02-20,116,28,0
2022-02-27,159,50,0
2022-03-06,96,52,1
2022-03-13,114,103,2
2022-03-20,33,144,0
2022-03-27,20,147,1
