cohort,females,males,pop_females,pop_males
"0 to 9",9,10,27460,29247
"10 to 19",27,25,24048,25808
20s,19,21,33680,32918
30s,12,17,36180,34864
40s,11,10,29676,29558
50s,6,3,25166,24123
60s,3,4,20413,18209
70s,1,1,13976,12419
80s,0,0,6194,4837
90+,0,0,1575,917
